,Emoji_ID,Emoji,Unicode_Name,Arabic_Name,Class,Total_Occurrence,Negativity_Occurrence_N(Negative),Neutrality_Occurrence_N(Neutral),Positivity_Occurrence_N(Positive),Negativite_Probability_P(Negative),Neutral_Probability_P(Neutral),Positive_Probability_P(Positive),Sentiment_Score_S,Sentiment_Label_L
32,b'\xf0\x9f\x98\x91',😑, Expressionless Face ,وجه بلا تعبير,Facial Expression,1729,1325,201,203,0.7663389242336611,0.11625216888374783,0.11740890688259109,-0.64893001735107,negative
33,b'\xf0\x9f\x98\x8e',😎, Smiling Face With Sunglasses ,وجه مبتسم بنظارة شمسيه,Facial Expression,1678,196,284,1198,0.11680572109654351,0.16924910607866508,0.7139451728247914,0.5971394517282479,positive
34,b'\xf0\x9f\x98\x8f',😏, Smirking Face ,وجه مبتسم باستهزاء,Facial Expression,1601,665,374,562,0.41536539662710803,0.23360399750156152,0.3510306058713304,-0.06433479075577764,negative
35,b'\xf0\x9f\x98\x80',😀, Grinning Face ,وجه ضاحك,Facial Expression,1592,965,213,414,0.6061557788944724,0.13379396984924624,0.2600502512562814,-0.34610552763819097,negative
36,b'\xf0\x9f\x99\x8f',🙏, Folded Hands ,ايدي متقابله,Body Language,1592,302,129,1161,0.18969849246231155,0.08103015075376885,0.7292713567839196,0.5395728643216081,positive
37,b'\xf0\x9f\x8c\xb7',🌷, Tulip ,زهره التوليب,Nature,1530,95,176,1259,0.06209150326797386,0.11503267973856209,0.822875816993464,0.7607843137254902,positive
38,b'\xf0\x9f\x91\x87',👇, Backhand Index Pointing Down ,ظهر يد تشير لاسفل,Body Language,1528,523,535,470,0.34227748691099474,0.35013089005235604,0.3075916230366492,-0.034685863874345524,neutral
39,b'\xe2\x98\xba',☺, Smiling Face ,وجه مبتسم,Facial Expression,1495,141,183,1171,0.09431438127090301,0.12240802675585284,0.7832775919732441,0.6889632107023411,positive
40,b'\xf0\x9f\x98\x90',😐, Neutral Face ,وجه محايد,Facial Expression,1484,855,536,93,0.5761455525606469,0.3611859838274933,0.06266846361185983,-0.5134770889487871,negative
41,b'\xf0\x9f\x91\x8f',👏, Clapping Hands ,تصفيق,Body Language,1377,174,227,976,0.12636165577342048,0.16485112563543936,0.7087872185911401,0.5824255628177196,positive
42,b'\xf0\x9f\x92\x98',💘, Heart With Arrow ,قلب بسهم,Heart,1363,474,87,802,0.34776228906823187,0.06382978723404255,0.5884079236977257,0.2406456346294938,positive
43,b'\xf0\x9f\x92\x96',💖, Sparkling Heart ,قلب متالق,Heart,1291,65,47,1179,0.05034856700232378,0.03640588690937258,0.9132455460883037,0.8628969790859798,positive
44,b'\xf0\x9f\x94\xa5',🔥, Fire ,نار,Nature,1281,347,407,527,0.27088212334113976,0.31772053083528495,0.41139734582357534,0.1405152224824356,positive
45,b'\xf0\x9f\x8c\x9a',🌚, New Moon Face ,وجه قمر جديد,Facial Expression,1261,471,211,579,0.37351308485329104,0.16732751784298175,0.4591593973037272,0.08564631245043614,positive
46,b'\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6',🇸🇦, Saudi Arabia ,علم المملكة العربيه السعوديه,Flag,1225,139,116,970,0.11346938775510204,0.0946938775510204,0.7918367346938775,0.6783673469387754,positive
47,b'\xf0\x9f\x8c\xba',🌺, Hibiscus ,زهره الخبازي,Nature,1214,103,182,929,0.08484349258649095,0.14991762767710048,0.7652388797364086,0.6803953871499177,positive
48,b'\xf0\x9f\x8d\x83',🍃, Leaf Fluttering In Wind ,ورقه شجر ترفرف في مهب الريح,Nature,1179,123,329,727,0.10432569974554708,0.27905004240882103,0.6166242578456319,0.5122985581000848,positive
49,b'\xf0\x9f\x98\x8b',😋, Face Savoring Food ,وجه متلذذ,Facial Expression,1121,702,207,212,0.6262265834076717,0.18465655664585193,0.18911685994647637,-0.4371097234611953,negative
50,b'\xf0\x9f\x98\x9e',😞, Disappointed Face ,وجه محبط,Facial Expression,1099,989,56,54,0.899909008189263,0.050955414012738856,0.04913557779799818,-0.8507734303912649,negative
51,b'\xf0\x9f\x98\xa4',😤, Face With Steam From Nose ,وجه مكبوت ينفث البخار من انفه,Facial Expression,1059,519,374,166,0.49008498583569404,0.35316336166194523,0.15675165250236073,-0.3333333333333333,negative
52,b'\xf0\x9f\x96\xa4',🖤, Black Heart ,قلب اسود,Heart,1057,568,142,347,0.5373699148533586,0.13434247871333965,0.3282876064333018,-0.20908230842005682,negative
53,b'\xf0\x9f\x94\xb4',🔴, Red Circle ,دائره حمراء,Symbol,1042,432,484,126,0.4145873320537428,0.46449136276391556,0.12092130518234165,-0.2936660268714012,negative
