,Emoji_ID,Emoji,Unicode_Name,Arabic_Name,Class,Total_Occurrence,Negativity_Occurrence_N(Negative),Neutrality_Occurrence_N(Neutral),Positivity_Occurrence_N(Positive),Negativite_Probability_P(Negative),Neutral_Probability_P(Neutral),Positive_Probability_P(Positive),Sentiment_Score_S,Sentiment_Label_L
137,b'\xe2\x98\x80',☀, Sun ,شمس,Nature,231,8,23,200,0.038461538461538464,0.10256410256410256,0.8589743589743589,0.8205128205128205,positive
138,b'\xf0\x9f\x8c\xb4',🌴, Palm Tree ,نخله,Nature,231,19,57,155,0.08547008547008547,0.24786324786324787,0.6666666666666666,0.5811965811965811,positive
139,b'\xf0\x9f\x8c\xb1',🌱, Seedling ,نبته,Nature,230,10,46,174,0.04721030042918455,0.2017167381974249,0.7510729613733905,0.703862660944206,positive
140,b'\xf0\x9f\x91\x90',👐, Open Hands ,يدان مفتوحتان,Body Language,222,30,44,148,0.13777777777777778,0.2,0.6622222222222223,0.5244444444444445,positive
141,b'\xe2\x9d\x84',❄, Snowflake ,ندفه ثلج,Nature,219,20,124,75,0.0945945945945946,0.5630630630630631,0.34234234234234234,0.24774774774774774,positive
142,b'\xf0\x9f\x92\x8e',💎, Gem Stone ,حجر كريم,Object,216,21,46,149,0.1004566210045662,0.2146118721461187,0.684931506849315,0.5844748858447488,positive
143,b'\xf0\x9f\x98\x9f',😟, Worried Face ,وجه قلق,Facial Expression,214,151,45,18,0.7004608294930875,0.2119815668202765,0.08755760368663594,-0.6129032258064516,negative
144,b'\xf0\x9f\x91\x8b',👋, Waving Hand ,يد تلوح,Body Language,212,67,35,110,0.31627906976744186,0.16744186046511628,0.5162790697674419,0.2,positive
145,b'\xf0\x9f\x8e\x88',🎈, Balloon ,بالون,Object,209,38,32,139,0.18396226415094338,0.15566037735849056,0.660377358490566,0.4764150943396226,positive
146,b'\xe2\x98\x95',☕, Hot Beverage ,مشروب ساخن,Food,207,24,48,135,0.11904761904761904,0.23333333333333334,0.6476190476190476,0.5285714285714286,positive
147,b'\xf0\x9f\x8e\x82',🎂, Birthday Cake ,كعكه عيد الميلاد,Food,207,18,17,172,0.09047619047619047,0.08571428571428572,0.8238095238095238,0.7333333333333333,positive
148,b'\xe2\xad\x90',⭐, White Medium Star ,نجمه بيضاء متوسطه الحجم,Nature,195,10,123,62,0.05555555555555555,0.6262626262626263,0.3181818181818182,0.26262626262626265,positive
149,b'\xe2\x9d\x97',❗, Exclamation Mark ,علامه تعجب,Symbol,188,115,46,27,0.6073298429319371,0.24607329842931938,0.14659685863874344,-0.4607329842931937,negative
150,b'\xf0\x9f\x9a\xab',🚫, Prohibited ,ممنوع,Symbol,188,95,76,17,0.5026178010471204,0.4031413612565445,0.09424083769633508,-0.4083769633507853,negative
151,b'\xf0\x9f\xa4\x95',🤕, Face With Head-Bandage ,وجه مضمد الراس,Facial Expression,179,113,20,46,0.6263736263736264,0.11538461538461539,0.25824175824175827,-0.3681318681318681,negative
152,b'\xf0\x9f\x87\xb9\xf0\x9f\x87\xb3',🇹🇳, Tunisia ,علم تونس,Flag,178,1,54,123,0.011049723756906077,0.30386740331491713,0.6850828729281768,0.6740331491712708,positive
153,b'\xf0\x9f\x8e\xb5',🎵, Musical Note ,نوته موسيقيه,Symbol,172,34,32,106,0.2,0.18857142857142858,0.6114285714285714,0.4114285714285714,positive
154,b'\xf0\x9f\x93\x9a',📚, Books ,كتب,Object,171,24,114,33,0.14367816091954022,0.6609195402298851,0.19540229885057472,0.0517241379310345,neutral
155,b'\xe2\x99\xa8',♨, Hot Springs ,الينابيع الساخنه,Symbol,166,1,25,140,0.011834319526627219,0.15384615384615385,0.834319526627219,0.8224852071005918,positive
156,b'\xf0\x9f\xa6\x8b',🦋, Butterfly ,فراشه,Nature,166,17,30,119,0.10650887573964497,0.1834319526627219,0.7100591715976331,0.6035502958579881,positive
157,b'\xf0\x9f\x92\xaf',💯, Hundred Points ,مائه نقطه,Symbol,162,20,80,62,0.12727272727272726,0.4909090909090909,0.38181818181818183,0.2545454545454546,positive
158,b'\xf0\x9f\x91\x80',👀, Eyes ,عيون,Body Language,158,59,22,77,0.37267080745341613,0.14285714285714285,0.484472049689441,0.11180124223602489,positive
159,b'\xf0\x9f\x98\x9d',😝, Squinting Face With Tongue ,وجه مغمض عينيه مخرجا لسانه,Facial Expression,155,95,24,36,0.6075949367088608,0.15822784810126583,0.23417721518987342,-0.37341772151898733,negative
160,b'\xf0\x9f\x8c\x9e',🌞, Sun With Face ,وجه الشمس,Nature,155,35,24,96,0.22784810126582278,0.15822784810126583,0.6139240506329114,0.38607594936708867,positive
161,b'\xf0\x9f\x8c\xa7',🌧, Cloud With Rain ,سحابه ماطره,Nature,155,23,11,121,0.1518987341772152,0.0759493670886076,0.7721518987341772,0.620253164556962,positive
162,b'\xf0\x9f\x8d\x80',🍀, Four Leaf Clover ,اربع اوراق برسيم,Nature,154,7,70,77,0.050955414012738856,0.45222929936305734,0.4968152866242038,0.445859872611465,positive
163,b'\xf0\x9f\x8c\xbe',🌾, Sheaf Of Rice ,حزمه ارز,Nature,153,4,27,122,0.03205128205128205,0.1794871794871795,0.7884615384615384,0.7564102564102564,positive
164,b'\xe2\x9a\xa1',⚡, High Voltage ,جهد كهربائي عالي,Nature,153,18,86,49,0.12179487179487179,0.5576923076923077,0.32051282051282054,0.19871794871794873,positive
165,b'\xe2\x98\x9d',☝, Index Pointing Up ,اصبع السبابه مشيرا لاعلي,Body Language,152,54,48,50,0.3548387096774194,0.3161290322580645,0.32903225806451614,-0.025806451612903236,neutral
166,b'\xf0\x9f\x92\x9d',💝, Heart With Ribbon ,قلب بشريطه,Heart,151,33,13,105,0.22077922077922077,0.09090909090909091,0.6883116883116883,0.4675324675324676,positive
167,b'\xe2\x9c\x8f',✏, Pencil ,قلم,Object,151,24,74,53,0.16233766233766234,0.487012987012987,0.35064935064935066,0.18831168831168832,positive
168,b'\xf0\x9f\x8c\x88',🌈, Rainbow ,قوس قزح,Nature,151,35,40,76,0.23376623376623376,0.2662337662337662,0.5,0.26623376623376627,positive
169,b'\xf0\x9f\x98\xa8',😨, Fearful Face ,وجه مرتعب,Facial Expression,150,140,6,4,0.9215686274509803,0.0457516339869281,0.032679738562091505,-0.8888888888888888,negative
170,b'\xf0\x9f\x90\xb8',🐸, Frog Face ,وجه الضفدع,Nature,148,103,12,33,0.6887417218543046,0.08609271523178808,0.2251655629139073,-0.4635761589403973,negative
171,b'\xf0\x9f\x8e\xbb',🎻, Violin ,كمان,Object,146,19,20,107,0.1342281879194631,0.14093959731543623,0.7248322147651006,0.5906040268456375,positive
172,b'\xf0\x9f\x98\xb2',😲, Astonished Face ,وجه مذهول,Facial Expression,146,118,12,16,0.7986577181208053,0.087248322147651,0.11409395973154363,-0.6845637583892616,negative
173,b'\xf0\x9f\x8e\xa5',🎥, Movie Camera ,كاميرا فيلم,Object,144,13,92,39,0.09523809523809523,0.6326530612244898,0.272108843537415,0.17687074829931976,positive
174,b'\xe2\x9d\xa3',❣, Heavy Heart Exclamation ,علامه تعجب غامقه علي شكل قلب,Heart,138,33,40,65,0.24113475177304963,0.2907801418439716,0.46808510638297873,0.2269503546099291,positive
175,b'\xf0\x9f\x99\x8b',🙋, Person Raising Hand ,شخص رافع يده,Body Language,132,26,30,76,0.2,0.22962962962962963,0.5703703703703704,0.3703703703703704,positive
176,b'\xf0\x9f\x91\x89',👉, Backhand Index Pointing Right ,ظهر يد تشير الى اليمين,Body Language,129,41,51,37,0.3181818181818182,0.3939393939393939,0.2878787878787879,-0.030303030303030276,neutral
177,b'\xf0\x9f\x92\x9f',💟, Heart Decoration ,قلب مزخرف,Heart,128,10,38,80,0.08396946564885496,0.29770992366412213,0.6183206106870229,0.5343511450381679,positive
178,b'\xf0\x9f\x98\xba',😺, Grinning Cat Face ,وجه قط مبتسم,Facial Expression,127,21,67,39,0.16923076923076924,0.5230769230769231,0.3076923076923077,0.13846153846153847,positive
179,b'\xf0\x9f\x8e\x81',🎁, Wrapped Gift ,هديه مغلفه,Object,127,4,27,96,0.038461538461538464,0.2153846153846154,0.7461538461538462,0.7076923076923077,positive
180,b'\xf0\x9f\x8d\x95',🍕, Pizza ,بيتزا,Food,125,24,41,60,0.1953125,0.328125,0.4765625,0.28125,positive
181,b'\xf0\x9f\x99\x86',🙆, Person Gesturing Ok ,شخص يومي بيديه بعلامه علي ما يرام,Body Language,124,47,16,61,0.3779527559055118,0.13385826771653545,0.4881889763779528,0.11023622047244097,positive
182,b'\xf0\x9f\x94\xb9',🔹, Small Blue Diamond ,معين ازرق صغير,Symbol,123,17,80,26,0.14285714285714285,0.6428571428571429,0.21428571428571427,0.07142857142857142,positive
183,b'\xf0\x9f\x8e\x8a',🎊, Confetti Ball ,كره تزيين الاحتفالات,Object,120,19,15,86,0.16260162601626016,0.13008130081300814,0.7073170731707317,0.5447154471544715,positive
184,b'\xf0\x9f\x94\xb8',🔸, Small Orange Diamond ,معين برتقالي صغير,Symbol,120,12,87,21,0.10569105691056911,0.7154471544715447,0.17886178861788618,0.07317073170731707,positive
185,b'\xe2\x9c\x88',✈, Airplane ,طائره,Object,118,22,50,46,0.19008264462809918,0.4214876033057851,0.3884297520661157,0.1983471074380165,positive
186,b'\xf0\x9f\x87\xb0\xf0\x9f\x87\xbc',🇰🇼, Kuwait ,علم الكويت,Flag,117,29,27,61,0.25,0.23333333333333334,0.5166666666666667,0.2666666666666667,positive
187,b'\xe2\xad\x95',⭕, Heavy Large Circle ,دائره كبيره غامقه,Symbol,115,16,74,25,0.1440677966101695,0.635593220338983,0.22033898305084745,0.07627118644067796,positive
188,b'\xf0\x9f\x8c\x9d',🌝, Full Moon Face ,وجه البدر,Facial Expression,115,52,8,55,0.4491525423728814,0.07627118644067797,0.4745762711864407,0.02542372881355931,neutral
189,b'\xf0\x9f\x87\xa6\xf0\x9f\x87\xaa',🇦🇪, United Arab Emirates ,علم الامارات العربيه المتحده,Flag,112,27,26,59,0.24347826086956523,0.23478260869565218,0.5217391304347826,0.27826086956521734,positive
190,b'\xf0\x9f\xa4\xa7',🤧, Sneezing Face ,وجه يعطس,Facial Expression,112,64,21,27,0.5652173913043478,0.19130434782608696,0.24347826086956523,-0.3217391304347825,negative
191,b'\xf0\x9f\xa4\x9d',🤝, Handshake ,مصافحه,Body Language,112,32,24,56,0.28695652173913044,0.21739130434782608,0.4956521739130435,0.20869565217391306,positive
192,b'\xf0\x9f\x98\xaf',😯, Hushed Face ,وجه متفاجيء,Facial Expression,111,46,29,36,0.41228070175438597,0.2631578947368421,0.32456140350877194,-0.08771929824561403,negative
193,b'\xf0\x9f\x93\x9d',📝, Memo ,مذكره,Object,110,23,48,39,0.21238938053097345,0.4336283185840708,0.35398230088495575,0.1415929203539823,positive
194,b'\xf0\x9f\x92\x80',💀, Skull ,جمجمه,Facial Expression,109,83,11,15,0.75,0.10714285714285714,0.14285714285714285,-0.6071428571428572,negative
195,b'\xf0\x9f\x91\x86',👆, Backhand Index Pointing Up ,ظهر يد تشير الى الاعلي,Body Language,107,40,40,27,0.37272727272727274,0.37272727272727274,0.2545454545454545,-0.11818181818181822,negative
196,b'\xf0\x9f\x8c\xb2',🌲, Evergreen Tree ,شجره دائمه الخضره,Nature,106,2,58,46,0.027522935779816515,0.5412844036697247,0.43119266055045874,0.4036697247706422,positive
197,b'\xf0\x9f\x91\xa9',👩, Woman ,امراه,Facial Expression,106,32,33,41,0.30275229357798167,0.3119266055045872,0.3853211009174312,0.08256880733944955,positive
198,b'\xf0\x9f\x87\xaa',🇪, Regional Indicator Symbol Letter E ,حرف رمز المؤشر الاقليمي اي,Symbol,102,8,37,57,0.08571428571428572,0.3619047619047619,0.5523809523809524,0.4666666666666667,positive
199,b'\xf0\x9f\x92\xa1',💡, Light Bulb ,مصباح كهربائي,Object,102,28,51,23,0.2761904761904762,0.49523809523809526,0.22857142857142856,-0.047619047619047644,neutral
200,b'\xf0\x9f\x98\xae',😮, Face With Open Mouth ,وجه بفم مفتوح,Facial Expression,100,41,28,31,0.4077669902912621,0.2815533980582524,0.3106796116504854,-0.09708737864077671,negative
201,b'\xf0\x9f\x87\xb6\xf0\x9f\x87\xa6',🇶🇦, Qatar ,علم قطر,Flag,99,44,16,39,0.4411764705882353,0.16666666666666666,0.39215686274509803,-0.04901960784313725,neutral
202,b'\xf0\x9f\x98\x9b',😛, Face With Tongue ,وجه مخرج لسانه,Facial Expression,99,72,11,16,0.7156862745098039,0.11764705882352941,0.16666666666666666,-0.5490196078431373,negative
203,b'\xf0\x9f\x93\xba',📺, Television ,تلفاز,Object,98,6,81,11,0.06930693069306931,0.8118811881188119,0.1188118811881188,0.04950495049504949,neutral
204,b'\xf0\x9f\x98\xbf',😿, Crying Cat Face ,وجه قط يبكي,Facial Expression,98,73,17,8,0.7326732673267327,0.1782178217821782,0.0891089108910891,-0.6435643564356436,negative
205,b'\xf0\x9f\x87\xae\xf0\x9f\x87\xb9',🇮🇹, Italy ,علم ايطاليا,Flag,97,17,59,21,0.18,0.6,0.22,0.04000000000000001,neutral
206,b'\xf0\x9f\xa4\x9a',🤚, Raised Back Of Hand ,ظهر يد مرفوعه,Body Language,96,30,11,55,0.31313131313131315,0.12121212121212122,0.5656565656565656,0.2525252525252525,positive
207,b'\xe2\x98\x98',☘, Shamrock ,نبات الشبذر,Nature,94,5,47,42,0.061855670103092786,0.4948453608247423,0.44329896907216493,0.38144329896907214,positive
208,b'\xf0\x9f\x8e\xa4',🎤, Microphone ,ميكروفون,Object,93,14,59,20,0.15625,0.625,0.21875,0.0625,neutral
209,b'\xf0\x9f\x94\x94',🔔, Bell ,جرس,Object,93,18,55,20,0.19791666666666666,0.5833333333333334,0.21875,0.020833333333333343,neutral
210,b'\xe2\xac\x85',⬅, Left Arrow ,سهم يشير لليسار,Symbol,92,13,61,18,0.14736842105263157,0.6526315789473685,0.2,0.052631578947368446,neutral
211,b'\xf0\x9f\xa4\x93',🤓, Nerd Face ,وجه الطالب المجتهد,Facial Expression,91,31,7,53,0.3404255319148936,0.0851063829787234,0.574468085106383,0.23404255319148942,positive
212,b'\xf0\x9f\x90\xa3',🐣, Hatching Chick ,فرخ يفقس من بيضه,Nature,91,8,64,19,0.09574468085106383,0.6914893617021277,0.2127659574468085,0.11702127659574468,positive
213,b'\xe2\x98\x81',☁, Cloud ,غيمه,Nature,89,14,16,59,0.16304347826086957,0.18478260869565216,0.6521739130434783,0.4891304347826087,positive
214,b'\xe2\x9b\x88',⛈, Cloud With Lightning And Rain ,سحابه ماطره مع برق ,Nature,87,28,8,51,0.32222222222222224,0.1,0.5777777777777777,0.2555555555555555,positive
215,b'\xe2\x8f\xb0',⏰, Alarm Clock ,منبه,Object,85,3,70,12,0.045454545454545456,0.8068181818181818,0.14772727272727273,0.10227272727272728,positive
216,b'\xf0\x9f\x9a\x80',🚀, Rocket ,صاروخ,Object,83,19,30,34,0.23255813953488372,0.36046511627906974,0.4069767441860465,0.1744186046511628,positive
217,b'\xf0\x9f\x92\xa3',💣, Bomb ,قنبله,Object,83,50,12,21,0.5930232558139535,0.1511627906976744,0.2558139534883721,-0.33720930232558144,negative
218,b'\xf0\x9f\x94\xba',🔺, Red Triangle Pointed Up ,مثلث احمر يشير لاعلي ,Symbol,82,14,55,13,0.17647058823529413,0.6588235294117647,0.16470588235294117,-0.011764705882352955,neutral
219,b'\xe2\x9c\x8a',✊, Raised Fist ,قبضه موجهه للاعلي,Body Language,80,31,13,36,0.3855421686746988,0.1686746987951807,0.4457831325301205,0.06024096385542166,neutral
220,b'\xf0\x9f\x8d\x92',🍒, Cherries ,كرز,Food,80,10,20,50,0.13253012048192772,0.25301204819277107,0.6144578313253012,0.4819277108433735,positive
221,b'\xf0\x9f\x92\xb0',💰, Money Bag ,صره مال,Object,80,20,35,25,0.25301204819277107,0.43373493975903615,0.3132530120481928,0.060240963855421714,neutral
222,b'\xf0\x9f\xa4\xa4',🤤, Drooling Face ,وجه يسيل لعابه,Facial Expression,78,22,15,41,0.2839506172839506,0.19753086419753085,0.5185185185185185,0.2345679012345679,positive
223,b'\xe2\x9d\x93',❓, Question Mark ,علامه استفهام,Symbol,77,63,11,3,0.8,0.15,0.05,-0.75,negative
224,b'\xf0\x9f\x96\x90',🖐, Hand With Fingers Splayed ,يد منفرجه الاصابع,Body Language,75,30,7,38,0.3974358974358974,0.10256410256410256,0.5,0.10256410256410259,positive
225,b'\xe2\x98\x94',☔, Umbrella With Rain Drops ,مظله مع قطرات المطر,Object,75,17,8,50,0.23076923076923078,0.11538461538461539,0.6538461538461539,0.4230769230769231,positive
226,b'\xf0\x9f\x8c\xa0',🌠, Shooting Star ,شهاب,Nature,74,4,29,41,0.06493506493506493,0.38961038961038963,0.5454545454545454,0.48051948051948046,positive
227,b'\xf0\x9f\x87\xb4\xf0\x9f\x87\xb2',🇴🇲, Oman ,علم سلطنه عمان,Flag,73,4,14,55,0.06578947368421052,0.19736842105263158,0.7368421052631579,0.6710526315789473,positive
228,b'\xf0\x9f\x87\xbe\xf0\x9f\x87\xaa',🇾🇪, Yemen ,علم اليمن,Flag,73,22,17,34,0.3026315789473684,0.23684210526315788,0.4605263157894737,0.15789473684210525,positive
229,b'\xf0\x9f\x8c\xa4',🌤, Sun Behind Small Cloud ,شمس خلف سحابه صغيره,Nature,72,2,9,61,0.04,0.13333333333333333,0.8266666666666667,0.7866666666666666,positive
230,b'\xf0\x9f\x91\xa8',👨, Man ,رجل,Facial Expression,72,20,21,31,0.28,0.29333333333333333,0.4266666666666667,0.14666666666666667,positive
231,b'\xe2\x9d\x8e',❎, Cross Mark Button ,زر علامه الخطا,Symbol,71,7,56,8,0.10810810810810811,0.7702702702702703,0.12162162162162163,0.013513513513513514,neutral
232,b'\xf0\x9f\x87\xae\xf0\x9f\x87\xb6',🇮🇶, Iraq ,علم العراق,Flag,71,32,7,32,0.44594594594594594,0.10810810810810811,0.44594594594594594,0.0,neutral
233,b'\xf0\x9f\x8f\x9f',🏟, Stadium ,ملعب,Place,71,1,64,6,0.02702702702702703,0.8783783783783784,0.0945945945945946,0.06756756756756757,positive
234,b'\xf0\x9f\x99\x87',🙇, Person Bowing ,شخص منحني,Body Language,70,32,12,26,0.4520547945205479,0.1780821917808219,0.3698630136986301,-0.0821917808219178,negative
235,b'\xf0\x9f\x94\x97',🔗, Link ,حلقه وصل,Object,70,7,58,5,0.1095890410958904,0.8082191780821918,0.0821917808219178,-0.0273972602739726,neutral
236,b'\xf0\x9f\x98\x88',😈, Smiling Face With Horns ,وجه مبتسم بقرون,Facial Expression,70,25,17,28,0.3561643835616438,0.2465753424657534,0.3972602739726027,0.0410958904109589,neutral
237,b'\xf0\x9f\xa4\x92',🤒, Face With Thermometer ,وجه بميزان حراره في الفم,Facial Expression,70,29,22,19,0.410958904109589,0.3150684931506849,0.273972602739726,-0.136986301369863,negative
238,b'\xe2\x80\xbc',‼, Double Exclamation Mark ,علامه تعجب مزدوجه,Symbol,70,40,15,15,0.5616438356164384,0.2191780821917808,0.2191780821917808,-0.34246575342465757,negative
239,b'\xe2\x9a\x9c',⚜, Fleur-De-Lis ,زخرفه الزنبق,Symbol,70,6,43,21,0.0958904109589041,0.6027397260273972,0.3013698630136986,0.2054794520547945,positive
240,b'\xf0\x9f\x91\x85',👅, Tongue ,لسان,Body Language,67,27,5,35,0.4,0.08571428571428572,0.5142857142857142,0.11428571428571421,positive
241,b'\xf0\x9f\x98\xb5',😵, Dizzy Face ,وجه مصاب بدوار,Facial Expression,67,56,2,9,0.8142857142857143,0.04285714285714286,0.14285714285714285,-0.6714285714285715,negative
242,b'\xf0\x9f\x94\xb5',🔵, Blue Circle ,دائره زرقاء,Symbol,67,13,45,9,0.2,0.6571428571428571,0.14285714285714285,-0.05714285714285716,neutral
243,b'\xf0\x9f\x91\xbb',👻, Ghost ,شبح,Nature,66,34,17,15,0.5072463768115942,0.2608695652173913,0.2318840579710145,-0.2753623188405797,negative
244,b'\xf0\x9f\x94\x9d',🔝, Top Arrow ,سهم يشير لاعلي,Symbol,66,11,18,37,0.17391304347826086,0.2753623188405797,0.5507246376811594,0.37681159420289856,positive
245,b'\xf0\x9f\x86\x9a',🆚, Vs Button ,زر Vs,Symbol,66,3,60,3,0.057971014492753624,0.8840579710144928,0.057971014492753624,0.0,neutral
246,b'\xe2\x98\x91',☑, Ballot Box With Check ,صندوق الاقتراع مع علامه صح,Symbol,66,6,37,23,0.10144927536231885,0.5507246376811594,0.34782608695652173,0.24637681159420288,positive
247,b'\xe2\x9a\xa0',⚠, Warning ,تحذير,Symbol,63,33,23,7,0.5151515151515151,0.36363636363636365,0.12121212121212122,-0.3939393939393939,negative
248,b'\xf0\x9f\x87\xa6\xf0\x9f\x87\xb8',🇦🇸, American Samoa ,علم ساموا الامريكيه,Flag,62,0,0,62,0.015384615384615385,0.015384615384615385,0.9692307692307692,0.9538461538461538,positive
249,b'\xf0\x9f\x8c\x99',🌙, Crescent Moon ,هلال,Nature,61,10,8,43,0.171875,0.140625,0.6875,0.515625,positive
250,b'\xe2\x81\x89',⁉, Exclamation Question Mark ,علامه استفهام وتعجب,Symbol,61,49,6,6,0.78125,0.109375,0.109375,-0.671875,negative
251,b'\xf0\x9f\x96\x95',🖕, Middle Finger ,الاصبع الوسطي,Body Language,60,46,8,6,0.746031746031746,0.14285714285714285,0.1111111111111111,-0.6349206349206349,negative
252,b'\xf0\x9f\x92\xb5',💵, Dollar Banknote ,اوراق نقديه لعمله الدولار,Object,59,7,31,21,0.12903225806451613,0.5161290322580645,0.3548387096774194,0.22580645161290325,positive
253,b'\xf0\x9f\x8e\x93',🎓, Graduation Cap ,قبعه التخرج,Object,58,8,11,39,0.14754098360655737,0.19672131147540983,0.6557377049180327,0.5081967213114753,positive
254,b'\xf0\x9f\x98\xa7',😧, Anguished Face ,وجه مكروب,Facial Expression,58,49,4,5,0.819672131147541,0.08196721311475409,0.09836065573770492,-0.7213114754098361,negative
255,b'\xe2\x9e\x96',➖, Heavy Minus Sign ,علامه ناقص غامغه,Symbol,58,4,44,10,0.08196721311475409,0.7377049180327869,0.18032786885245902,0.09836065573770493,positive
256,b'\xf0\x9f\x87\xa9\xf0\x9f\x87\xbf',🇩🇿, Algeria ,علم الجزائر,Flag,58,7,34,17,0.13114754098360656,0.5737704918032787,0.29508196721311475,0.16393442622950818,positive
257,b'\xf0\x9f\x8e\xaf',🎯, Direct Hit ,ضربه مباشره,Object,57,3,43,11,0.06666666666666667,0.7333333333333333,0.2,0.13333333333333336,positive
258,b'\xf0\x9f\x93\xb1',📱, Mobile Phone ,هاتف محمول,Object,56,5,33,18,0.1016949152542373,0.576271186440678,0.3220338983050847,0.22033898305084743,positive
259,b'\xf0\x9f\x8c\x8d',🌍, Globe Showing Europe-Africa ,اوروبا وافريقيا علي الكره الارضيه,Nature,56,10,23,23,0.1864406779661017,0.4067796610169492,0.4067796610169492,0.22033898305084748,positive
260,b'\xe2\x99\xa6',♦, Diamond Suit ,معين,Symbol,56,29,22,5,0.5084745762711864,0.3898305084745763,0.1016949152542373,-0.4067796610169491,negative
261,b'\xf0\x9f\x92\xa2',💢, Anger Symbol ,رمز الغضب,Symbol,56,15,20,21,0.2711864406779661,0.3559322033898305,0.3728813559322034,0.1016949152542373,positive
262,b'\xe2\xac\x87',⬇, Down Arrow ,سهم يشير لاسفل,Symbol,56,14,20,22,0.2542372881355932,0.3559322033898305,0.3898305084745763,0.13559322033898308,positive
263,b'\xf0\x9f\x90\xa5',🐥, Front-Facing Baby Chick ,كتكوت صغير مواجه للامام,Nature,55,14,19,22,0.25862068965517243,0.3448275862068966,0.39655172413793105,0.13793103448275862,positive
264,b'\xf0\x9f\x92\x8d',💍, Ring ,خاتم,Object,53,15,8,30,0.2857142857142857,0.16071428571428573,0.5535714285714286,0.2678571428571429,positive
265,b'\xf0\x9f\x94\xb1',🔱, Trident Emblem ,شعار رمح ثلاثي الشعب,Symbol,53,4,15,34,0.08928571428571429,0.2857142857142857,0.625,0.5357142857142857,positive
266,b'\xf0\x9f\x87\xb9',🇹, Regional Indicator Symbol Letter T ,حرف رمز المؤشر الاقليمي ت,Symbol,53,14,15,24,0.26785714285714285,0.2857142857142857,0.44642857142857145,0.1785714285714286,positive
267,b'\xe2\x9a\xab',⚫, Black Circle ,دائره سوداء,Symbol,52,13,31,8,0.2545454545454545,0.5818181818181818,0.16363636363636364,-0.09090909090909088,negative
268,b'\xe2\x8f\xb1',⏱, Stopwatch ,ساعه التوقف,Object,52,4,44,4,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.0,neutral
269,b'\xf0\x9f\x93\xa9',📩, Envelope With Arrow ,ظرف مع سهم,Object,51,9,27,15,0.18518518518518517,0.5185185185185185,0.2962962962962963,0.1111111111111111,positive
270,b'\xf0\x9f\x8c\x8f',🌏, Globe Showing Asia-Australia ,اسيا واستراليا علي الكره الارضيه,Nature,51,19,21,11,0.37037037037037035,0.4074074074074074,0.2222222222222222,-0.14814814814814814,negative
271,b'\xf0\x9f\x91\x81',👁, Eye ,عين,Body Language,51,19,15,17,0.37037037037037035,0.2962962962962963,0.3333333333333333,-0.037037037037037035,neutral
272,b'\xf0\x9f\x94\xbb',🔻, Red Triangle Pointed Down ,مثلث احمر يشير للاسفل,Symbol,51,10,34,7,0.2037037037037037,0.6481481481481481,0.14814814814814814,-0.05555555555555555,neutral
273,b'\xf0\x9f\x93\xb8',📸, Camera With Flash ,كاميرا مع فلاش,Object,50,5,28,17,0.11320754716981132,0.5471698113207547,0.33962264150943394,0.22641509433962262,positive
274,b'\xf0\x9f\x93\xa2',📢, Loudspeaker ,مكبر الصوت,Object,50,9,33,8,0.18867924528301888,0.6415094339622641,0.16981132075471697,-0.01886792452830191,neutral
275,b'\xf0\x9f\x9a\xa9',🚩, Triangular Flag ,علم مثلث,Flag,49,8,27,14,0.17307692307692307,0.5384615384615384,0.28846153846153844,0.11538461538461536,positive
276,b'\xf0\x9f\x8e\xa7',🎧, Headphone ,سماعه,Object,49,12,7,30,0.25,0.15384615384615385,0.5961538461538461,0.34615384615384615,positive
277,b'\xf0\x9f\x87\xaf\xf0\x9f\x87\xb4',🇯🇴, Jordan ,علم الاردن,Flag,48,16,0,32,0.3333333333333333,0.0196078431372549,0.6470588235294118,0.3137254901960785,positive
278,b'\xf0\x9f\x94\xb6',🔶, Large Orange Diamond ,معين برتقالي كبير,Symbol,48,11,30,7,0.23529411764705882,0.6078431372549019,0.1568627450980392,-0.0784313725490196,negative
279,b'\xf0\x9f\x92\xb8',💸, Money With Wings ,حزمه مال باجنحه,Object,48,20,10,18,0.4117647058823529,0.21568627450980393,0.37254901960784315,-0.039215686274509776,neutral
280,b'\xf0\x9f\x8d\xb0',🍰, Shortcake ,قطعه كعكه,Food,47,8,11,28,0.18,0.24,0.58,0.39999999999999997,positive
281,b'\xf0\x9f\x8c\xb5',🌵, Cactus ,صبار,Nature,46,15,13,18,0.32653061224489793,0.2857142857142857,0.3877551020408163,0.06122448979591838,neutral
282,b'\xf0\x9f\x8e\x97',🎗, Reminder Ribbon ,شريطه تذكير,Object,45,3,12,30,0.08333333333333333,0.2708333333333333,0.6458333333333334,0.5625,positive
283,b'\xf0\x9f\x92\x85',💅, Nail Polish ,طلاء اظافر,Body Language,45,16,7,22,0.3541666666666667,0.16666666666666666,0.4791666666666667,0.125,positive
284,b'\xf0\x9f\x97\x93',🗓, Spiral Calendar ,تقويم بسلك لولبي,Symbol,45,6,33,6,0.14583333333333334,0.7083333333333334,0.14583333333333334,0.0,neutral
285,b'\xf0\x9f\x94\x81',🔁, Repeat Button ,زر التكرار,Symbol,45,8,22,15,0.1875,0.4791666666666667,0.3333333333333333,0.14583333333333331,positive
